term_str,fear_structural,fear_conflict,fear_affective,fear_breakdown
also,0,0,0,0
alter,0,1,0,0
alteration,0,0,0,0
altercation,0,1,1,0
alternate#1,0,0,0,0
alternate#2,0,0,0,0
alternative,0,0,0,0
although,0,0,0,0
altogether,0,0,0,0
altruistic,0,0,0,0
aluminium#1,0,0,0,0
aluminum,0,0,0,0
always,0,0,0,0
am#1,0,0,0,0
am#2,0,0,0,0
am#3,0,0,0,0
amateur,0,0,0,0
amaze#1,0,0,0,0
amaze#2,0,0,0,0
amazement,1,1,0,0
amazing,1,1,0,0
ambassador,2,0,0,0
ambiguity,0,0,1,0
ambiguous,0,0,1,0
ambition,2,1,0,0
ambitious,2,1,0,0
ambivalent,0,0,1,1
ambulance,0,0,0,0
ambush#1,2,2,1,0
ambush#2,2,2,1,0
ameliorate,0,0,0,0
amelioration,0,0,0,0
amen,0,0,0,0
amenable,0,0,0,0
amend#1,1,0,0,0
amend#2,1,0,0,0
amendment,1,0,0,0
amenity,0,0,0,0
america,0,0,0,0
american,0,0,0,0
amiability,0,0,0,0
amiable,0,0,0,0
amicable,0,0,0,0
amid,0,0,0,0
amidst,0,0,0,0
amiss,0,0,2,0
ammunition,2,0,0,0
amnesty,1,0,0,0
among,0,0,0,0
amount#1,0,0,0,0
amount#2,0,0,0,0
amour,0,0,0,0
ample,0,1,0,0
amplify,0,1,0,0
amply,0,1,0,0
amputate,0,0,1,0
amuse,0,0,0,0
amusement,0,0,0,0
an,0,0,0,0
analogous,0,0,0,0
analogy,0,0,0,0
analyse#1,0,0,0,0
analysis,0,0,0,0
analyst,0,0,0,0
analytic,0,0,0,0
analytical,0,0,0,0
analyze,0,0,0,0
anarchist,0,1,1,0
anarchy,2,1,1,1
ancestor,0,0,0,0
anchor#1,0,0,0,0
anchor#2,0,1,0,0
ancient,0,0,0,0
and,0,0,0,0
anecdote,0,0,0,0
anew,0,0,0,0
angel,0,0,0,0
angelic,0,0,0,0
anger#1,0,1,1,0
anger#2,0,1,1,0
angle,0,0,0,0
angola,0,0,0,0
angry,0,1,1,0
anguish,0,1,1,1
animal,0,0,0,0
animate,0,0,0,0
animation,0,0,0,0
animosity,0,1,2,0
ankle,0,0,0,0
annals,0,0,0,0
annihilate,0,1,1,0
annihilation,0,1,1,0
anniversary,0,0,0,0
announce#1,0,0,0,0
announce#2,0,0,0,0
announcement,0,0,0,0
annoy,0,1,2,0
annoyance,0,1,2,0
annual,0,0,0,0
annuity,0,0,0,0
anoint,0,0,0,0
anomalous,0,0,1,0
anomaly,0,0,1,0
anonymous,0,0,0,0
another#1,0,0,0,0
another#2,0,0,0,0
another#3,0,0,0,0
answer#1,0,0,0,0
answer#2,0,0,0,0
answerable,0,0,0,0
ant,0,0,0,0
antagonise#1,0,0,0,0
antagonism,0,2,2,0
antagonist,0,1,1,0
antagonistic,0,2,2,0
antagonize,0,2,2,0
antarctica,1,0,0,0
anti-social,0,0,1,0
anti-trust,0,0,0,0
anticipate,0,0,0,0
anticipation,0,0,0,0
antipathy,0,0,1,0
antiquated,0,0,1,0
antitrust,0,0,1,0
anxiety,0,0,1,1
anxious#1,0,0,0,0
anxious#2,0,0,1,1
anxious#3,0,0,1,1
anxiousness,0,0,1,1
any#1,0,0,0,0
any#2,0,0,0,0
any#3,0,0,0,0
any#4,0,0,0,0
any#5,0,0,0,0
anybody,0,0,0,0
anyhow,0,0,0,0
anymore,0,0,0,0
anyone,0,0,0,0
anything,0,0,0,0
anyway,0,0,0,0
anywhere,0,0,0,0
apart#1,0,0,0,0
apart#2,0,0,0,0
apart#3,0,0,0,0
apartment,0,0,0,0
apathetic,0,0,1,0
apathy,0,0,1,0
apocalypse,0,0,0,0
apologetic,0,0,0,1
apologize,0,0,0,0
apology,0,0,0,0
appall#1,0,0,1,0
appall#2,0,0,1,0
apparatus,0,0,0,0
apparent#1,0,0,0,0
apparent#2,0,0,0,0
appeal#1,0,0,0,0
appeal#2,0,0,0,0
appeal#3,0,0,0,0
appear#1,0,0,0,0
appear#2,0,0,0,0
appearance,0,0,0,0
appease,1,0,0,0
appeasement,1,0,0,0
append,0,0,0,0
appertain,0,0,0,0
appetite,0,0,0,0
applaud,0,0,0,0
applause,0,0,0,0
applicable,0,0,0,0
applicant,0,0,0,0
application,0,0,0,0
apply#1,0,0,0,0
apply#2,0,0,0,0
apply#3,0,0,0,0
apply#4,0,0,0,0
appoint#1,1,0,0,0
appoint#2,2,0,0,0
appointment,1,0,0,0
appraisal,1,0,0,0
appraise,0,0,0,0
appreciable,0,1,0,0
appreciate,0,0,0,0
appreciation,0,0,0,0
appreciative,0,0,0,0
apprehend,0,0,0,0
apprehension,0,1,1,1
apprehensive,0,0,1,1
approach#1,0,0,0,0
approach#2,0,0,0,0
appropriate#1,0,0,0,0
appropriate#2,1,1,0,0
appropriation,1,0,0,0
approval,0,0,0,0
approve#1,0,0,0,0
approve#2,0,1,0,0
approximate,0,0,0,0
approximately,0,0,0,0
april,0,0,0,0
apt,0,1,0,0
aptitude,0,1,0,0
arab,1,0,0,0
arabia,0,0,0,0
arbiter,0,0,0,0
arbitrary,0,0,2,0
arbitrate,1,0,0,0
arbitration,1,0,0,0
arbitrator,1,0,0,0
arch#1,0,0,0,0
arch#2,0,0,0,0
architect,0,0,0,0
architecture,0,0,0,0
ardent,1,1,0,0
ardour,0,0,0,0
arduous,0,0,1,0
are#1,0,0,0,0
are#2,0,0,0,0
are#3,0,0,0,0
are#4,0,0,0,0
area,0,0,0,0
arena,0,0,0,0
argentine,0,0,0,0
argue#1,2,1,1,0
argue#2,0,0,0,0
argument#1,2,1,1,0
argument#2,0,0,0,0
arid,0,0,1,0
arise,0,1,0,0
arisen,0,0,0,0
aristocracy,1,0,0,0
aristocrat,1,0,0,0
aristocratic,1,0,0,0
arizona,0,0,0,0
arkansas,0,0,0,0
arm#1,0,0,0,0
arm#2,3,2,0,0
arm#3,3,1,0,0
armament,2,0,0,0
armed#1,3,2,0,0
armed#2,3,2,0,0
armistice,1,0,0,0
army,2,1,0,0
arose,0,1,0,0
around,0,0,0,0
arouse#1,0,0,0,0
arrange#1,2,0,0,0
arrange#2,0,0,0,0
arrangement,1,0,0,0
arrest#1,2,2,1,0
arrest#2,1,2,1,0
arrest#3,0,0,0,0
arrival,0,0,0,0
arrive,0,0,0,0
arrogance,1,0,1,0
arrogant,0,1,2,0
arrow,0,1,0,0
arsenal,2,0,0,0
art#1,0,0,0,0
art#2,0,0,0,0
art#3,0,0,0,0
art#4,0,0,0,0
artery,0,0,0,0
article,1,0,0,0
articulate#1,0,0,0,0
articulate#2,0,1,0,0
artificial,0,0,1,0
artist,0,0,0,0
artistic,0,0,0,0
as#1,0,0,0,0
as#10,0,0,0,0
as#11,0,0,0,0
as#12,0,0,0,0
as#2,0,0,0,0
as#3,0,0,0,0
as#4,0,0,0,0
as#5,0,0,0,0
as#6,0,0,0,0
as#7,0,0,0,0
as#8,0,0,0,0
as#9,0,0,0,0
as#_10,0,0,0,0
as#_11,0,0,0,0
as#_12,0,0,0,0
ascend,1,1,0,0
ascendancy,1,0,0,0
ascendant,1,0,0,0
ascent,0,1,0,0
ascertain,0,0,0,0
ascertainment,0,0,0,0
ascribe,0,0,0,0
ash,0,0,0,0
ashamed,0,0,1,1
asia,1,0,0,0
aside#1,0,0,0,0
aside#2,0,0,0,0
ask#1,0,0,0,0
ask#2,0,0,0,0
asleep,0,0,0,0
aspect,0,0,0,0
aspiration,0,0,0,0
aspire,0,0,0,0
ass,0,0,0,0
assail,0,2,1,0
assailant,0,1,1,0
assassin,0,1,1,0
assassinate,0,1,1,0
assassination,2,0,0,0
assault#1,2,2,1,0
assault#2,2,2,1,0
assemble,1,0,0,0
assembly,1,0,0,0
assent,1,0,0,0
assert,2,1,0,0
assertion,0,1,0,0
assertive,2,0,0,0
assess,0,0,0,0
assessment,0,0,0,0
assessor,1,0,0,0
asset,0,1,0,0
assign#1,1,0,0,0
assign#2,2,0,0,0
assignment,1,0,0,0
assimilate,0,0,0,0
assist#1,1,1,0,0
assist#2,1,1,0,0
assistance,1,1,0,0
assistant,0,0,0,0
associate#1,1,0,0,0
associate#2,0,0,0,0
associate#3,0,0,0,0
association#1,1,1,0,0
association#2,0,1,0,0
assume#1,1,0,0,0
assume#2,0,0,0,0
assumption,0,0,0,0
assurance,0,1,0,0
assure#1,0,1,0,0
assure#2,1,1,0,0
assure#3,1,1,0,0
assuredly,1,1,0,0
assuredness,0,0,0,0
astonish#1,0,0,0,0
astonish#2,0,0,0,0
astound,1,1,0,0
astray,0,0,1,1
astronomical,0,0,0,0
astronomy,0,0,0,0
astute,0,0,0,0
asunder,0,0,1,1
at,0,0,0,0
ate,0,0,0,0
athletic,0,1,0,0
atlantic,1,0,0,0
atlantic-aliance,0,0,0,0
atlantic-community,0,0,0,0
atlantic-pact,0,0,0,0
atlas,0,0,0,0
atmosphere,0,0,0,0
atom,0,0,0,0
atomic,0,1,0,0
atop,0,0,0,0
atrocious,0,0,2,0
atrophy,0,0,1,0
attach,0,0,0,0
attachment,0,0,0,0
attack#1,1,2,1,0
attack#2,1,2,1,0
attack#3,0,1,1,0
attacker,1,1,0,0
attain,0,1,0,0
attainable,0,0,0,0
attainment,0,1,0,0
attempt#1,0,0,0,0
attempt#2,0,0,0,0
attempt#3,0,0,0,0
attend#1,0,0,0,0
attend#2,0,0,0,0
attendance,0,0,0,0
attendant,0,0,0,0
attention,0,0,0,0
attentive,0,0,0,0
attest,0,0,0,0
attic,0,0,0,0
attitude,0,0,0,0
attorney,2,0,0,0
attract,0,1,0,0
attraction,0,1,0,0
attractive,0,0,0,0
attractiveness,0,0,0,0
attribute#1,0,0,0,0
attribute#2,0,0,0,0
attune,0,0,0,0
auction,0,0,0,0
audacious,0,1,1,0
audacity,0,1,1,0
audible,0,1,0,0
audience,0,0,0,0
auditor,1,0,0,0
augment,0,0,0,0
augmentation,0,0,0,0
august,0,0,0,0
aunt,0,0,0,0
auspicious,0,0,0,0
austere,0,2,1,0
australia,0,0,0,0
australian,0,0,0,0
austria,0,0,0,0
austrian,0,0,0,0
authentic,0,0,0,0
authenticity,0,0,0,0
author,0,0,0,0
authorise#1,0,0,0,0
authoritarian,1,1,1,0
authoritative,2,1,0,0
authority,2,1,0,0
authorize#1,2,1,0,0
authorize#2,2,1,0,0
auto,0,0,0,0
autocrat,1,1,1,0
autocratic,1,1,1,0
automatic,0,0,0,0
automobile,0,0,0,0
automotive,0,0,0,0
autonomous,1,1,0,0
autonomy,1,0,0,0
autumn,0,0,0,0
auxiliary,0,0,0,0
avail,0,1,0,0
availability,0,0,0,0
available,0,0,0,0
avarice,0,0,1,0
avaricious,0,0,1,0
avenge,2,2,1,0
avenue,0,0,0,0
average#1,0,0,0,0
average#2,0,0,0,0
average#3,0,0,0,0
aversion,0,1,1,0
avert,0,1,1,0
avid,0,0,0,0
avoid,0,1,1,0
avoidance,0,1,1,0
avowal,0,0,0,0
await,0,0,0,0
awake,0,0,0,0
awaken,0,0,0,0
award#1,1,1,0,0
award#2,1,1,0,0
aware,0,1,0,0
awareness,0,1,0,0
away#1,0,0,0,0
away#2,0,0,0,0
away#3,0,0,0,0
away#4,0,0,0,0
awe,0,0,0,0
awful#1,0,1,2,0
awful#2,0,0,0,0
awful#3,0,0,1,0
awhile,0,0,0,0
awkward,0,0,2,0
awkwardness,0,0,1,0
awoke#1,0,0,0,0
ax,1,0,1,0
axe,0,1,0,0
axis,0,0,0,0
axle,0,0,0,0
babble,0,0,1,0
baby#1,0,0,0,0
baby#2,0,0,0,0
baby#3,0,0,0,0
bachelor,0,0,0,0
back#1,0,0,0,0
back#2,2,1,0,0
back#3,1,1,0,1
back#4,0,0,0,0
back#5,2,1,0,0
back#6,0,0,0,0
back#7,0,0,0,0
back#8,0,0,0,0
backbone,1,1,0,0
backer,1,1,0,0
background,0,0,0,0
backing,0,0,0,0
backward,0,0,1,0
backwardness,0,0,1,0
bacon,0,0,0,0
bad,0,0,2,0
badger,0,0,0,0
badly,0,0,2,0
baffle,0,0,1,0
bafflement,0,0,1,0
bag#1,0,0,0,0
bag#2,0,0,0,0
bail,0,0,1,1
bait,0,0,1,0
bake,0,0,0,0
baker,0,0,0,0
balance#1,1,1,0,0
balance#2,1,1,0,0
bale,0,0,0,0
balk,0,0,1,1
ball#1,0,0,0,0
ball#2,0,0,0,0
ball#3,0,0,0,0
ball#4,0,1,0,0
ball#5,0,0,0,0
ball#6,0,1,0,0
ballet,0,0,0,0
ballistic,2,0,0,0
balloon,0,0,0,0
ballot,3,0,0,0
balmy,0,0,0,0
ban#1,1,0,0,0
ban#2,1,0,0,0
banal,0,0,1,0
band#1,0,0,0,0
band#2,1,1,0,0
bandit,0,1,1,0
bandstand,0,0,0,0
bane,0,0,1,0
banish#1,2,1,1,0
banish#2,2,2,1,0
banishment,1,0,1,0
bank#1,0,0,0,0
bank#2,0,0,0,0
bank#3,0,0,0,0
bank#4,0,0,0,0
banker,0,0,0,0
bankrupt,0,0,1,1
bankruptcy,0,0,1,1
banquet,0,0,0,0
banter#1,0,0,0,0
banter#2,0,0,0,0
baptism,0,0,0,0
baptize,0,0,0,0
bar#1,0,0,0,0
bar#2,0,0,0,0
bar#3,0,0,0,0
bar#4,2,2,1,0
bar#5,1,0,0,0
bar#6,0,0,0,0
barbarian,0,1,1,0
barbarous,0,1,1,0
barber,0,0,0,0
bard,0,0,0,0
barely,0,0,0,0
bargain,0,0,0,0
bark#1,0,0,0,0
bark#2,0,0,0,0
barn,0,0,0,0
barrel,0,0,0,0
barren,0,0,1,0
barrier,2,0,1,0
base#1,0,1,0,0
base#2,0,1,0,0
baseball,0,0,0,0
basement,0,0,0,0
bashful,0,0,1,0
basic#1,0,0,0,0
basic#2,0,0,0,0
basis,0,0,0,0
basket,0,0,0,0
bastard,0,1,1,0
bat#1,0,0,0,0
bat#2,0,0,0,0
bath,0,0,0,0
bathe,0,0,0,0
bathroom#1,0,0,0,0
bathroom#2,0,0,0,0
battle#1,2,1,1,0
battle#2,2,2,1,0
battlefield,1,1,1,0
battleship,2,0,0,0
bavaria,0,0,0,0
bay,0,0,0,0
be#1,0,0,0,0
be#2,0,0,0,0
be#3,0,0,0,0
be#4,0,0,0,0
beach,0,0,0,0
beacon,0,0,0,0
beam#1,0,0,0,0
beam#2,0,0,0,0
bean,0,0,0,0
bear#1,0,0,0,0
bear#10,0,0,0,0
bear#2,1,1,0,0
bear#3,0,0,0,0
bear#4,0,0,0,0
bear#5,0,0,0,0
bear#6,0,0,0,0
bear#7,0,0,0,0
bear#8,0,0,0,0
bear#9,0,0,0,0
bear#_10,1,1,0,0
beard,0,0,0,0
bearer,0,0,0,0
beastly,0,1,1,0
beat#1,0,0,0,0
beat#2,2,2,1,0
beat#3,1,2,1,0
beat#4,2,0,1,0
beaten#1,0,0,0,0
beauteous,0,0,0,0
beautiful,0,0,0,0
beautify,0,1,0,0
beauty,0,0,0,0
beaver,0,0,0,0
became,0,0,0,0
because#1,0,0,0,0
because#2,0,0,0,0
beckon,0,0,0,0
become,0,0,0,0
bed#1,0,0,0,0
bed#2,0,0,0,0
bed#3,0,0,0,0
bed#4,0,0,0,0
bedroom,0,0,0,0
beef,0,0,0,0
been#1,0,0,0,0
been#2,0,0,0,0
been#3,0,0,0,0
beep,0,0,0,0
beer,0,0,0,0
befit,0,0,0,0
befitting,0,0,0,0
before,0,0,0,0
befriend,0,0,0,0
beg,0,0,1,0
began,0,0,0,0
beggar,0,0,1,0
begin#1,0,0,0,0
begin#2,0,0,0,0
beginner,0,0,0,0
begun,0,0,0,0
behalf,0,0,0,0
behave,0,0,0,0
behavior,0,0,0,0
behaviour#1,0,0,0,0
behead,0,1,1,0
behind,0,0,0,0
being#1,0,0,0,0
being#2,0,0,0,0
being#3,0,0,0,0
belated,0,0,1,0
belgian,0,0,0,0
belgium,0,0,0,0
belie,0,1,1,0
belief,0,0,0,0
believe#1,0,0,0,0
believe#2,0,0,0,0
believe#3,0,0,0,0
believer,0,0,0,0
belittle,0,1,1,0
belligerent,2,1,1,0
belly,0,0,0,0
belong#1,0,0,0,0
belong#2,0,0,0,0
beloved,0,0,0,0
below,0,0,0,0
belt#1,0,0,0,0
belt#2,0,2,1,0
bend#1,0,0,0,0
bend#2,0,0,0,0
beneath,0,0,0,0
benefactor,0,0,0,0
beneficent,0,0,0,0
beneficial,0,0,0,0
beneficiary,0,0,0,0
benefit#1,0,0,0,0
benefit#2,1,1,0,0
benefit#3,0,1,0,0
benevolence,0,0,0,0
benevolent,0,0,0,0
benign,1,0,0,0
bent,0,0,0,0
bequeath,0,0,0,0
berate,0,0,0,0
bereave,0,1,1,0
bereavement,0,0,1,0
bereft,0,0,1,0
berlin,1,0,0,0
berserk,0,1,1,0
beseech,0,0,1,0
beset,0,0,1,1
beside#1,0,0,0,0
beside#2,0,0,0,0
beside#3,0,0,0,0
besiege,0,1,1,0
best,0,0,0,0
bestow,1,1,0,0
bet#1,0,0,0,0
bet#2,0,0,0,0
betray,0,1,1,0
betrayal,0,1,1,0
betroth,0,0,0,0
betrothal,0,0,0,0
better#1,0,0,0,0
better#2,0,0,0,0
better#3,0,0,0,0
betterment,0,0,0,0
between,0,0,0,0
beware,0,2,1,0
bewilder,0,0,1,0
bewilderment,0,0,1,0
beyond,0,0,0,0
bible,0,0,0,0
biblical,0,0,0,0
bicep,1,0,0,0
bid#1,1,0,0,0
bid#2,1,0,0,0
big,0,1,0,0
bigotry,0,0,0,0
bilateral,0,0,0,0
bill#1,1,0,0,0
bill#2,0,0,0,0
billion,0,0,0,0
bin,0,0,0,0
biography,0,0,0,0
biological,0,0,0,0
bird,0,0,0,0
birth#1,0,0,0,0
birth#2,0,0,0,0
birthday,0,0,0,0
birthplace,0,0,0,0
bishop,1,0,0,0
bit#1,0,0,0,0
bit#2,0,1,1,0
bitchy,0,1,1,0
bite#1,0,1,1,0
bite#2,0,1,1,0
bite#3,0,1,1,0
bitten#1,0,0,0,0
